n 10000, TimeSeries size 10000
0.277,0.3179
-1.605,-1.60555
0.320,0.545492
-0.261,-0.390767
-0.819,-0.980626
0.958,0.726573
1.022,1.13678
-1.225,-1.21991
-0.191,-0.201937
-2.030,-1.97402
1.479,1.56077
-0.435,-0.484822
1.265,1.25092
-0.171,-0.316985
0.516,0.444394
-0.170,-0.142104
1.350,1.4929
-2.227,-2.23933
1.099,1.05418
0.170,0.402763
0.693,0.617278
0.886,0.880354
0.813,0.898357
2.524,2.53683
0.530,0.0179474
-0.898,-0.88659
-1.212,-1.20351
-0.846,-0.853675
1.013,1.15284
0.295,0.107773
-0.800,-0.645634
-0.808,-0.422121
-1.163,-1.02208
0.060,0.447311
-0.069,-0.178078
-0.624,-0.616938
-1.203,-1.07377
-1.366,-1.39495
1.441,1.44486
-0.473,-0.62558
-0.933,-1.20187
-0.364,-0.375425
-1.214,-0.94831
0.068,0.0284729
-0.768,-0.825597
0.223,0.25592
0.692,0.786176
-0.274,-0.259208
0.810,0.994057
0.211,0.211669
0.232,0.319195
-3.051,-2.78557
1.324,1.16046
-2.123,-2.18544
-0.678,-0.729275
-1.522,-1.64717
-1.116,-1.1134
-0.389,-0.598786
1.715,1.84082
-0.002,-0.0194458
-0.571,-0.507459
0.045,0.0608607
1.347,1.2496
-0.228,-0.192209
0.432,0.451504
0.427,0.394652
0.717,0.703075
0.781,0.767729
-0.738,-0.676845
1.458,1.45239
0.529,0.524526
-0.154,-0.361465
0.143,0.0135135
1.101,1.16953
0.047,0.0477523
0.982,0.983848
1.015,1.07341
0.181,0.265542
-0.056,-0.0616609
-2.081,-2.14045
0.274,0.220172
-0.873,-1.1512
0.724,0.979112
1.054,1.01426
0.361,0.432988
-0.784,-0.939298
0.347,0.343323
-0.888,-0.82719
1.850,2.24929
0.034,-0.0709637
-2.329,-2.1403
-0.862,-0.858717
1.960,1.94883
0.808,0.849702
0.275,0.562602
1.460,1.02465
-0.902,-0.933161
0.214,0.182907
-1.454,-1.2705
-1.604,-1.59219
0.730,0.603381
0.496,0.591983
-0.566,-0.786145
-0.550,-0.475525
0.055,0.0659875
1.242,1.22128
-1.874,-1.94087
0.235,0.289947
-0.204,-0.205111
-0.772,-0.774607
1.379,1.36507
0.331,0.399949
-0.336,-0.353021
0.216,0.216807
-0.406,-0.448228
-1.270,-1.25869
0.122,0.0649696
-1.357,-1.33581
0.339,0.428249
-3.009,-2.98035
-0.046,-0.0231313
-0.659,-0.37777
-0.140,-0.183486
0.380,0.384501
0.196,0.0207546
-1.388,-1.37034
-0.546,-0.479863
1.126,0.901366
-0.486,-0.455206
-0.843,-0.841072
-0.241,-0.327626
-0.096,-0.15027
3.059,3.11069
2.556,2.53959
-0.962,-0.869349
-0.084,-0.0723777
1.715,1.98709
-1.476,-1.48304
-0.155,-0.0643159
-1.857,-1.86809
0.146,0.0840282
-2.233,-2.27005
1.715,1.69229
-0.668,-0.586575
0.296,0.307306
-1.539,-1.42112
1.188,0.669276
-1.008,-1.04972
1.348,0.87632
-1.091,-0.970732
-0.495,-0.464302
-0.477,-0.45615
-0.074,-0.205201
-1.387,-1.30197
-0.145,-0.0959057
-1.465,-1.45337
-0.247,-0.310404
0.975,1.20069
-0.153,-0.0798758
0.141,-0.0266536
-0.509,-0.493455
-0.165,-0.280743
0.719,0.755453
-0.434,-0.680759
-0.794,-0.813626
0.892,0.823415
0.308,0.255818
1.146,1.07025
0.246,0.203196
-0.832,-0.795655
0.250,0.207282
-0.423,0.284667
1.055,1.07552
-0.134,0.00713003
-0.635,-1.15764
-0.349,-0.366461
0.467,0.48405
0.626,0.874902
0.596,0.576276
-0.031,0.032563
0.429,0.439398
-1.354,-0.684571
0.614,0.619982
0.904,0.536147
-1.464,-1.46319
-0.526,-0.457442
-0.350,-0.274255
-0.153,-0.159997
1.130,1.02747
-0.769,-0.768665
-1.502,-1.5253
-1.393,-1.44381
0.138,-0.00990135
-1.627,-1.68398
-0.416,-0.487576
-0.002,-0.00504512
-1.081,-1.108
-0.430,-0.363134
1.257,1.08535
0.137,0.15876
-0.076,-0.071524
-0.512,-0.0221588
-0.255,-0.384061
0.446,0.58455
-2.397,-2.62692
0.209,0.208486
-0.494,-0.505348
0.453,0.624905
-1.450,-1.41375
0.058,0.0583666
-0.461,-0.483551
0.565,0.524695
-0.201,-0.189559
0.598,0.568242
2.193,2.19272
-0.340,-0.344241
1.049,0.960745
-0.257,-0.286393
-0.132,-0.112067
0.210,0.218723
-1.207,-1.15786
1.532,1.65509
-0.770,-0.842529
0.788,0.774554
-0.425,-0.413602
-0.035,-0.00599388
0.980,1.02267
-0.842,-0.685156
-0.540,-0.517176
-1.817,-1.80841
-2.782,-3.02067
-2.599,-2.6003
0.014,-0.0353171
0.045,-0.140382
-0.513,-0.848827
-0.118,0.062503
2.791,2.738
0.328,0.426016
0.302,0.13371
-0.543,-0.411821
-1.083,-1.08253
-1.541,-1.50293
0.232,0.215237
-0.245,-1.07797
0.621,0.635699
0.399,0.233307
-0.206,-0.150546
-0.600,-0.744351
-0.787,-0.823144
-1.316,-1.6376
0.389,0.14854
-0.929,-0.873371
0.139,0.133667
-0.719,-0.489027
-1.124,-1.04943
0.041,0.0850489
0.368,0.515574
-0.475,-0.515674
-0.784,-0.764533
1.532,1.53952
-1.811,-1.84625
0.015,0.0936009
-0.185,-0.239315
0.820,0.910919
0.398,0.0498307
-0.243,0.0535995
