n 10000, TimeSeries size 10000
-0.699,410.186
0.611,133.285
-0.217,91.653
-0.317,319.76
0.823,-8.72837
1.395,-496.477
2.173,-298.754
-0.670,712.663
-1.578,-148.294
0.035,164.063
0.682,-101.412
-0.029,221.404
1.603,-210.799
-0.209,-146.696
0.460,-392.121
0.278,-8.49604
0.284,7.36748
0.932,-500.875
-0.744,-53.9258
1.138,-96.7663
1.586,159.576
1.693,-53.2
0.633,-481.328
-1.269,67.4199
-0.303,149.112
1.645,7.12644
0.364,-32.8677
0.405,-85.5595
-0.752,-197.63
1.191,-350.445
0.854,-332.388
-1.253,-22.8473
0.832,166.239
0.884,133.233
-0.830,0.279865
1.436,-330.623
-0.183,80.2335
-0.817,-359.8
0.948,195.847
0.117,-53.8677
-1.501,-25.3735
-1.508,-61.2777
-0.129,264.599
-0.350,-304.908
0.552,-374.426
-0.678,143.599
0.235,7.71997
-0.855,45.0534
2.203,-124.361
-0.720,288.314
1.598,-332.605
-0.739,-8.38932
0.752,191.531
-1.324,-77.4596
0.162,-274.754
1.512,-28.6401
1.916,66.9579
-0.257,-127.001
0.831,-333.293
1.341,-184.755
-1.291,-97.7305
-0.811,-136.375
-1.600,101.636
0.244,55.4929
0.112,61.3676
0.248,-105.455
-0.168,-94.2462
0.508,174.71
-0.068,162.855
1.091,-113.351
-1.106,-22.1223
-0.936,115.883
-0.672,85.5125
0.138,-46.8613
0.554,-162.489
0.810,-96.8464
1.254,132.733
0.353,-3.39948
0.263,135.677
0.561,-289.401
-0.110,-27.7991
0.941,108.206
0.049,123.368
-0.364,-16.9729
-1.644,-22.541
1.079,0.950433
-0.580,21.1924
-1.932,102.953
0.357,233.017
-0.632,129.885
0.852,72.1946
0.134,-291.806
-1.016,34.0906
-0.664,314.003
0.592,-156.781
0.982,-160.352
-1.116,87.7169
0.982,-15.7332
0.813,-234.747
-1.087,11.7748
0.269,-173.098
0.873,-111.378
-1.565,-261.928
1.052,46.1693
0.500,58.3898
0.532,75.723
1.361,166.97
-0.139,-23.6838
0.173,-89.9992
-0.238,-202.747
-0.169,-208.027
-0.638,-36.5157
1.151,33.8629
-0.526,-457.45
-2.044,187.277
1.031,-215.366
0.013,112.024
0.078,247.628
-0.336,326.602
0.183,-145.146
0.314,309.289
0.329,74.6148
0.151,228.639
0.203,-199.107
-0.754,8.98875
1.030,44.7337
-0.202,224.901
-1.021,55.8032
-0.792,71.9622
-0.766,24.4082
-1.128,-11.0559
0.403,-22.7112
1.972,171.494
0.966,-41.8029
0.222,86.88
-0.086,-58.2035
-0.407,-37.5141
0.531,-21.4834
0.015,296.867
1.690,-57.6953
-0.096,-85.9356
-1.517,-410.85
-0.143,-12.5664
0.858,12.0264
0.012,201.785
-0.818,53.4035
-0.292,40.2063
-0.416,60.0893
0.226,658.346
-0.628,59.0454
0.717,-294.564
0.274,165.599
-0.520,-166.948
0.330,-77.1674
-0.029,414.144
-0.145,33.891
1.282,-230.952
0.278,-417.35
-0.591,258.81
0.653,116.899
-0.931,63.0553
-1.413,-283.392
0.128,-300.257
-0.624,-83.5866
1.266,-374.701
0.391,182.061
1.232,-120.131
0.543,149.415
0.038,786.334
-0.743,195.124
-0.727,-117.114
-1.738,329.648
1.835,-0.595591
1.273,-352.341
0.821,204.334
0.543,215.135
0.036,-19.0841
-0.568,-95.9752
0.430,9.29469
0.808,-347.65
-0.026,511.109
0.808,-168.481
0.199,168.192
0.378,-99.0589
0.019,-275.34
0.466,-527.577
0.469,52.5346
0.220,7.42575
-0.774,23.028
1.379,45.7951
0.394,-267.404
-0.544,123.515
-0.240,236.522
0.796,342.685
1.234,26.9689
-1.850,182.707
-1.701,253.659
0.028,-172.979
-0.598,73.6282
0.614,103.157
-0.026,399.856
-1.317,230.158
0.055,-7.52097
0.079,-297.443
0.999,228.613
1.598,-73.8323
2.160,44.3763
-0.145,-19.6672
0.680,14.9265
-0.122,-415.054
-0.313,158.161
-0.319,-330.033
1.369,-86.682
-0.706,332.804
0.578,-457.124
2.564,72.053
-0.012,45.2925
0.834,-521.374
0.273,115.159
-0.896,-205.838
-1.058,322.364
0.804,-125.348
-1.576,13.7349
1.336,344.339
0.315,-72.3603
1.532,159.673
1.276,-552.776
1.807,-592.199
-0.269,64.035
-0.021,117.037
-0.730,231.278
-0.136,93.1628
0.500,-47.9804
-0.117,142.736
-0.472,-49.4178
1.754,-367.307
0.501,-445.075
-0.594,-168.639
-0.338,403.044
1.759,-152.972
1.072,-211.82
1.138,-82.5739
0.420,44.0663
-1.024,136.189
1.206,-312.563
0.241,17.1557
-2.349,-100.021
0.610,31.649
-2.872,548.564
-0.114,59.8952
-0.656,158.718
-1.287,-108.264
0.564,-268.048
0.479,-439.038
-0.166,311.143
-0.329,-50.3737
0.103,66.5727
-1.076,-38.5648
-0.635,-154.042
-1.179,-207.585
0.747,-578.274
-0.149,127.137
0.471,158.721
-0.132,-147.163
0.913,-43.1306
0.572,-65.2398
1.529,-315.451
1.190,-60.0964
-0.169,0.401414
0.651,-103.765
0.456,-135.882
-0.620,93.7311
-2.355,-276.276
0.277,-421.162
0.333,-15.5453
-0.581,-299.879
-1.156,264.378
-1.461,-31.0347
-0.260,53.2169
-0.725,-43.8982
0.417,236.339
-0.465,266.357
0.683,-205.295
-0.923,7.81861
-0.845,-231.414
0.006,-484.206
-0.529,-230.758
-0.452,294.69
-0.718,662.254
1.835,-103.449
-0.562,99.8177
0.106,-51.1664
1.445,-172.557
-1.098,2.73619
0.236,-159.96
0.261,-93.9374
0.693,-63.2473
-0.531,-143.4
-1.199,37.8855
1.918,-29.7967
0.169,84.4391
-1.426,-45.3115
-0.187,-105.968
1.472,-340.001
-0.076,-269.419
0.642,281.015
-1.705,102.684
0.320,-138.338
0.678,207.453
0.868,94.7075
-0.499,-226.458
0.165,65.7038
0.784,260.307
-1.029,-30.3926
0.053,89.5128
0.677,-148.515
0.208,-82.5142
-0.974,252.866
-0.943,203.091
0.392,147.543
0.066,133.368
0.908,291.676
0.077,-501.913
0.366,-202.971
-1.177,-227.041
1.302,-308.861
-2.578,-186.546
0.978,148.077
1.153,-247.634
1.653,-181.438
0.074,217.947
0.515,323.665
1.789,-20.9326
1.135,304.92
-0.797,-44.3562
-0.535,-7.64667
0.316,522.985
1.596,142.189
-0.882,145.272
0.976,87.1581
0.106,187.025
-0.710,15.6489
0.911,-30.0875
-0.381,328.115
-0.592,350.047
0.734,-11.9693
1.527,-165.071
1.383,127.372
-0.178,68.8091
-0.251,301.89
0.352,-78.7071
0.637,4.83361
-0.288,339.326
0.916,-446.691
0.482,-26.6043
-0.842,-108.992
-2.743,243.065
-0.145,-211.208
0.618,-11.1122
-1.374,75.857
0.728,-152.612
0.255,130.397
-0.068,276.521
0.578,159.915
-0.729,-43.5778
-0.681,-22.5087
-0.986,89.8556
-0.210,-43.245
-0.458,91.5342
1.728,1.36792
-0.848,-62.2898
0.397,430.267
-0.533,-111.472
-0.206,89.2334
-0.661,261.737
-1.163,252.23
0.575,156.893
-0.402,197.381
1.043,-96.5597
-0.727,311.189
0.863,-30.4427
2.234,-737.97
1.126,-514.255
0.870,377.447
0.321,-275.245
2.213,-502.376
-0.987,29.2666
-1.284,90.9449
1.367,-235.256
0.144,-48.1007
0.394,-159.974
-0.735,-12.2904
-0.517,-41.1455
-2.606,123.294
-1.984,81.2574
-0.229,-119.379
0.013,-17.1624
-0.714,-107.445
0.268,201.813
0.505,-115.349
1.162,182.408
-0.743,225.878
0.521,294.836
-0.333,97.3006
1.023,-54.5022
0.614,192.125
-0.593,-39.8362
0.561,-400.125
-0.549,116.699
-1.843,-190.822
0.658,68.1019
-0.783,-99.4054
0.028,-45.85
0.772,-113.976
1.159,81.3985
-0.337,199.921
-0.645,32.8218
0.298,-239.972
-1.929,292.562
-0.848,85.1239
-0.956,33.0259
0.494,-33.2936
-0.762,135.9
0.897,-95.5703
-1.870,76.95
-0.985,-162.279
0.912,-172.849
-0.818,-33.7981
-2.394,-79.5635
-0.110,84.9853
2.064,-396.522
0.394,804.485
-0.394,72.4815
3.443,-406.871
1.269,42.4224
-0.882,14.9658
1.510,-426.08
-0.386,368.485
0.367,76.4224
0.664,-179.817
1.067,106.132
0.731,-110.676
-1.972,-580.619
-0.327,-79.5676
-1.364,387.102
-0.967,-26.5327
-0.765,-168.619
2.014,49.5293
1.204,-351.927
0.660,-103.41
1.999,-129.881
-0.400,-58.1416
-1.176,-127.606
0.243,-125.075
-1.599,-316.062
-2.185,1.42728
0.560,352.25
0.720,-357.362
0.682,514.928
0.771,-332.425
-0.956,30.7229
1.418,30.1277
-0.263,-81.7254
0.089,-162.86
0.264,114.299
-0.443,281.642
0.230,-251.746
-0.606,231.853
-0.465,-268.19
1.416,203.172
-1.071,11.1614
-1.249,34.7121
-2.044,325.826
0.050,-196.741
-1.624,215.204
-0.915,294.318
0.367,-118.465
0.484,-195.611
-0.584,94.5838
-0.507,123.641
-0.498,-116.335
-1.179,-12.2292
0.547,-8.99206
0.983,-207.014
0.650,-30.6894
0.560,-490.027
2.046,-225.562
-0.489,471.217
-1.109,-117.284
0.359,-65.7962
-0.221,289.055
-0.726,22.5607
-0.877,-16.4097
-1.057,312.332
1.214,-46.8854
-0.250,-292.195
0.876,3.52125
-0.691,155.481
1.551,-570.756
0.435,644.451
1.123,0.763385
-1.427,-0.422537
-0.862,185.492
-0.225,211.38
0.457,-531.365
-0.723,-130.354
-0.151,295.221
0.628,-32.3888
0.604,-367.797
-0.644,163.157
-0.410,-283.621
0.576,228.128
0.151,-115.755
0.704,339.873
-0.117,256.911
-0.541,511.205
-1.530,-81.5542
1.032,-326.528
0.684,-613.611
0.954,-30.4353
-0.571,52.6534
1.756,-180.69
-1.394,181.44
-0.115,472.874
1.087,-48.1999
0.115,276.793
-0.118,-272.115
0.440,559.227
-2.763,13.5516
0.884,365.559
-1.493,239.749
-1.189,-74.6056
1.796,-17.8974
-1.009,-67.9079
1.468,302.185
-1.787,-43.3387
0.118,-106.93
0.069,18.355
-0.737,35.6804
-2.119,-84.6298
-1.249,148.296
-0.241,-47.8992
-0.632,321.955
-0.381,-239.069
-0.823,-75.2282
0.119,-169.247
0.465,29.6698
1.395,-248.738
1.113,-56.0236
-0.883,-173.35
0.112,137.397
-0.264,-280.629
-1.456,286.171
-0.076,330.299
1.545,-491.219
1.286,148.012
-1.594,358.458
0.135,-365.674
-1.352,296.381
0.172,-184.43
1.011,473.058
-2.119,531.981
-0.356,374.249
-0.488,-242.46
3.823,-732.576
0.466,-69.578
0.784,-131.767
0.607,71.8091
0.241,-144.008
0.907,-431.825
-0.913,-190.152
0.421,138
-0.225,-166.341
-0.828,219.652
0.029,282.847
-1.857,55.9319
-1.242,144.442
1.551,-121.928
1.861,-429.792
0.678,-177.858
1.463,-83.1686
1.400,68.1567
-0.529,-122.868
-0.174,-434.859
-0.984,81.944
-2.167,-120.275
0.119,316.753
0.465,-386.409
-1.597,124.245
-1.197,-68.4015
-0.237,143.711
-0.238,-145.931
1.008,164.014
-1.555,-166.068
0.141,-80.524
0.516,-12.7614
-0.626,-30.3963
0.672,234.32
-0.448,39.8863
-1.567,-31.3563
0.508,-82.3837
1.304,-31.1511
-0.320,-77.6947
-0.403,-114.225
0.761,11.6074
0.242,-290.329
0.039,-2.82172
1.373,-96.7988
-1.565,79.4405
-0.551,250.158
0.739,-441.465
0.161,-405.438
-1.513,458.602
-1.845,61.5994
-2.103,-1.60083
-2.637,-40.3793
-0.468,422.577
0.168,-77.2104
-0.316,-83.6853
0.288,-237.052
-0.682,279.689
